2024-07-01 04:40:20,491 | INFO | __main__ | 



2024-07-01 04:40:20,491 | INFO | __main__ | Starting main program...
2024-07-01 04:40:20,491 | DEBUG | __main__ | Audio capture and processing wrapper started.
2024-07-01 04:40:20,491 | DEBUG | root | Audio Stream Processor initialized | Sample Rate: 32000, Chunk Duration = 0.5 seconds
2024-07-01 04:40:20,491 | DEBUG | recorder.audio_buffer | AudioBuffer initialized with buffer duration: 40 secs, sample rate: 32000
2024-07-01 04:40:20,491 | INFO | recorder.audio_segment_manager | Audio segment manager initialized.
2024-07-01 04:40:20,491 | INFO | __main__ | Audio capture thread started.
2024-07-01 04:40:20,507 | INFO | __main__ | Transcription worker process started.
2024-07-01 04:40:20,518 | INFO | recorder.audio_capture_processor | Audio stream opened successfully. Recording started.
2024-07-01 04:40:24,205 | DEBUG | __mp_main__ | Transcription worker started.
2024-07-01 04:40:24,205 | DEBUG | transcriber.transcriber_service | Transcriber service initialized.
2024-07-01 04:40:24,205 | DEBUG | transcriber.transcriber_service | Loading Whisper model: base
2024-07-01 04:40:24,205 | DEBUG | utils.load_model | Attempting to load the Whisper model: base
2024-07-01 04:40:25,844 | INFO | utils.load_model | Whisper model base loaded successfully.
2024-07-01 04:40:25,848 | INFO | utils.load_model | Loaded Whisper model onto CUDA (GPU).
2024-07-01 04:40:25,848 | INFO | transcriber.transcriber_service | Whisper model loaded successfully.
2024-07-01 04:40:25,848 | DEBUG | __mp_main__ | Transcriber model loaded.
2024-07-01 04:40:25,848 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:26,856 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:26,856 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:27,869 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:27,869 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:28,881 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:28,881 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:29,889 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:29,889 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:30,899 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:30,899 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:31,912 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:31,912 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:32,924 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:32,924 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:33,937 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:33,937 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:34,948 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:34,948 | DEBUG | __mp_main__ | Waiting for file_path from queue...
