2024-07-01 10:43:06,611 | DEBUG | asyncio | Using proactor: IocpProactor
2024-07-01 10:43:06,646 | INFO | websockets.server | server listening on 127.0.0.1:8765
2024-07-01 10:43:06,646 | INFO | websockets.server | server listening on [::1]:8765
2024-07-01 10:43:07,070 | INFO | __main__ | 



2024-07-01 10:43:07,070 | INFO | __main__ | Starting main program...
2024-07-01 10:43:07,077 | DEBUG | __main__ | Audio capture and processing wrapper started.
2024-07-01 10:43:07,077 | INFO | __main__ | Audio capture thread started.
2024-07-01 10:43:07,077 | DEBUG | root | Audio Stream Processor initialized | Sample Rate: 32000, Chunk Duration = 0.5 seconds
2024-07-01 10:43:07,077 | DEBUG | recorder.audio_buffer | AudioBuffer initialized with buffer duration: 40 secs, sample rate: 32000
2024-07-01 10:43:07,077 | INFO | recorder.audio_segment_manager | Audio segment manager initialized.
2024-07-01 10:43:07,084 | INFO | __main__ | Transcription worker process started.
2024-07-01 10:43:07,094 | INFO | recorder.audio_capture_processor | Audio stream opened successfully. Recording started.
2024-07-01 10:43:08,273 | DEBUG | websockets.server | = connection is CONNECTING
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < GET / HTTP/1.1
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Host: localhost:8765
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Connection: Upgrade
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Pragma: no-cache
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Cache-Control: no-cache
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Accept-Language: en-GB,en
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Upgrade: websocket
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Origin: http://localhost:3000
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Sec-WebSocket-Version: 13
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Accept-Encoding: gzip, deflate, br, zstd
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Cookie: NEXT_LOCALE=fr; _ga=GA1.1.1062565612.1719374133; _ga_SJ4N0KDS43=GS1.1.1719644199.12.0.1719644199.0.0.0
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Sec-WebSocket-Key: OpKgqWcNDawMGaYbgMOZLA==
2024-07-01 10:43:08,275 | DEBUG | websockets.server | < Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2024-07-01 10:43:08,276 | DEBUG | websockets.server | > HTTP/1.1 101 Switching Protocols
2024-07-01 10:43:08,276 | DEBUG | websockets.server | > Upgrade: websocket
2024-07-01 10:43:08,276 | DEBUG | websockets.server | > Connection: Upgrade
2024-07-01 10:43:08,276 | DEBUG | websockets.server | > Sec-WebSocket-Accept: WhkXCpg7xzXXZVr12QQ3QWF30SA=
2024-07-01 10:43:08,276 | DEBUG | websockets.server | > Sec-WebSocket-Extensions: permessage-deflate; server_max_window_bits=12; client_max_window_bits=12
2024-07-01 10:43:08,276 | DEBUG | websockets.server | > Date: Mon, 01 Jul 2024 09:43:08 GMT
2024-07-01 10:43:08,276 | DEBUG | websockets.server | > Server: Python/3.12 websockets/12.0
2024-07-01 10:43:08,277 | INFO | websockets.server | connection open
2024-07-01 10:43:08,277 | DEBUG | websockets.server | = connection is OPEN
2024-07-01 10:43:08,277 | DEBUG | __main__ | New client connected: ('::1', 65314, 0, 0)
2024-07-01 10:43:10,551 | DEBUG | __mp_main__ | Transcription worker started.
2024-07-01 10:43:10,551 | DEBUG | transcriber.transcriber_service | Transcriber service initialized.
2024-07-01 10:43:10,551 | DEBUG | transcriber.transcriber_service | Loading Whisper model: base
2024-07-01 10:43:10,551 | DEBUG | utils.load_model | Attempting to load the Whisper model: base
2024-07-01 10:43:11,788 | INFO | utils.load_model | Whisper model base loaded successfully.
2024-07-01 10:43:11,790 | INFO | utils.load_model | Loaded Whisper model onto CUDA (GPU).
2024-07-01 10:43:11,790 | INFO | transcriber.transcriber_service | Whisper model loaded successfully.
2024-07-01 10:43:11,790 | DEBUG | __mp_main__ | Transcriber model loaded.
2024-07-01 10:43:38,285 | DEBUG | websockets.server | % sending keepalive ping
2024-07-01 10:43:38,285 | DEBUG | websockets.server | > PING af d7 d7 92 [binary, 4 bytes]
2024-07-01 10:43:38,286 | DEBUG | websockets.server | < PONG af d7 d7 92 [binary, 4 bytes]
2024-07-01 10:43:38,286 | DEBUG | websockets.server | % received keepalive pong
2024-07-01 10:44:08,286 | DEBUG | websockets.server | % sending keepalive ping
